sample.id	pop	moeregion	subregion	fourclusters	threeclusters	onecluster
R01-CR-CE-05	R01-CR-CE	R01	R01-CR	VanIsland	swBC	one
R01-CR-CE-07	R01-CR-CE	R01	R01-CR	VanIsland	swBC	one
R01-CR-CE-08	R01-CR-CE	R01	R01-CR	VanIsland	swBC	one
R01-CR-CE-10	R01-CR-CE	R01	R01-CR	VanIsland	swBC	one
R01-CR-CE-17	R01-CR-CE	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-01	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-02	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-03	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-04	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-05	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-13	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-14	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-18	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-19	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-20	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-21	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-28	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-CR-RA-29	R01-CR-RA	R01	R01-CR	VanIsland	swBC	one
R01-NI-CX-01	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-04	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-08	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-13	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-17	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-18	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-23	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-CX-30	R01-NI-CX	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-01	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-04	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-05	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-06	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-07	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-08	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-10	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-12	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-13	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-17	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-18	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-19	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-20	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-21	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-26	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-27	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-29	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-NI-OC-30	R01-NI-OC	R01	R01-NI	VanIsland	swBC	one
R01-SI-CA-01	R01-SI-CA	R01	R01-SI	VanIsland	swBC	one
R01-SI-DB-02	R01-SI-DB	R01	R01-SI	VanIsland	swBC	one
R01-SI-DB-03	R01-SI-DB	R01	R01-SI	VanIsland	swBC	one
R01-SI-DB-04	R01-SI-DB	R01	R01-SI	VanIsland	swBC	one
R01-SI-DB-15	R01-SI-DB	R01	R01-SI	VanIsland	swBC	one
R01-SI-DB-29	R01-SI-DB	R01	R01-SI	VanIsland	swBC	one
R01-SI-FR-02	R01-SI-FR	R01	R01-SI	VanIsland	swBC	one
R01-SI-FR-03	R01-SI-FR	R01	R01-SI	VanIsland	swBC	one
R01-SI-FR-04	R01-SI-FR	R01	R01-SI	VanIsland	swBC	one
R01-SI-FR-05	R01-SI-FR	R01	R01-SI	VanIsland	swBC	one
R01-SI-FR-06	R01-SI-FR	R01	R01-SI	VanIsland	swBC	one
R01-SI-FR-07	R01-SI-FR	R01	R01-SI	VanIsland	swBC	one
